name_attr;rating_attr;year_temp;watched_attr;year_attr;action_category;adventure_category;animation_category;children_category;comedy_category;crime_category;documentary_category;drama_category;fantasy_category;film_noir_category;horror_category;musical_category;mystery_category;romance_category;sci_fi_category;thriller_category;war_category;western_category;_no_genres_listed__category;imax_category
Toy Story  1995 ;3.921239561324077;1995;49695;1995;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Jumanji  1995 ;3.2119768016904193;1995;22243;1995;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Grumpier Old Men  1995 ;3.1510404397330194;1995;12735;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Waiting to Exhale  1995 ;2.8613933236574747;1995;2756;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Father of the Bride Part II  1995 ;3.064591727653976;1995;12161;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heat  1995 ;3.8349303318130468;1995;23899;1995;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Sabrina  1995 ;3.3664840675873777;1995;12961;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Tom and Huck  1995 ;3.142049469964664;1995;1415;1995;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sudden Death  1995 ;3.0049242424242424;1995;3960;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GoldenEye  1995 ;3.430029305292191;1995;29005;1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
American President  The  1995 ;3.667712806959586;1995;18162;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Dracula  Dead and Loving It  1995 ;2.6197659297789335;1995;3845;1995;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Balto  1995 ;3.272416153319644;1995;1461;1995;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nixon  1995 ;3.432082364662903;1995;6022;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Cutthroat Island  1995 ;2.7219931271477664;1995;2910;1995;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Casino  1995 ;3.7874554444061173;1995;17394;1995;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
